top,aftblur,aftgray,aftthresh,afterode,aftcanny,afthough,aftdrawing,1000000
12615654,12626960,12628003,12628581,12646805,12654285,12663388,12678107
12706424,12711979,12712431,12712604,12726803,12741516,12767612,12782591
12811062,12819889,12820660,12820938,12845817,12857743,12875266,12889405
12919509,12931035,12932083,12932452,12963978,12971158,12981728,12996359
13024684,13033172,13033935,13034211,13055255,13063131,13075214,13089967
13118534,13127693,13129295,13129594,13164146,13182253,13207281,13220692
13248018,13256388,13257150,13257431,13280248,13291950,13309899,13322692
13352598,13359733,13360339,13360567,13386564,13404389,13428283,13440863
13468121,13479104,13480141,13480509,13517102,13524463,13535024,13547348
13575935,13588397,13589187,13589466,13614941,13622290,13630840,13642749
13671018,13679910,13680675,13680952,13704094,13711506,13719303,13729645
13758256,13769850,13770875,13771648,13807414,13814723,13823146,13834335
13862734,13871654,13872424,13872701,13898975,13905927,13914912,13926531
13955069,13963469,13964231,13964508,13987305,13995480,14005077,14016308
14044178,14054621,14055420,14055702,14079037,14090873,14116584,14126869
14156886,14176734,14178413,14178985,14228229,14236914,14246083,14255914
14284224,14295746,14297384,14298990,14321615,14329231,14338767,14348205
14377498,14385283,14385890,14386121,14406057,14412407,14420256,14429386
14458155,14467920,14468697,14468979,14493729,14500534,14509463,14518892
14546972,14553978,14554479,14554673,14569456,14578084,14590823,14601538
14629941,14637360,14637959,14638186,14656150,14662520,14672404,14686628
14715736,14724672,14725439,14725715,14751587,14762865,14775523,14792763
14821349,14830149,14830912,14831189,14854008,14860692,14872743,14890868
14919853,14930354,14931154,14931450,14954821,14961637,14973231,14988667
15017498,15026839,15027619,15027901,15050741,15058794,15070334,15083006
15112085,15120932,15121717,15122280,15145113,15152467,15162079,15173594
15201425,15209480,15210087,15210316,15229852,15236312,15246070,15259201
15286827,15296133,15296896,15297162,15320006,15331827,15352597,15365746
15394128,15403836,15404595,15404874,15427689,15439478,15460299,15474339
15502592,15513474,15514218,15514781,15552376,15560161,15573662,15588606
15616775,15627518,15628883,15629416,15656181,15668774,15692887,15708417
15736829,15745509,15746273,15746556,15769873,15776637,15788845,15805220
15832601,15841109,15841897,15842189,15865021,15872015,15884284,15903498
15931373,15939859,15940641,15940934,15962747,15969507,15979604,15994236
16022273,16031479,16032275,16032573,16060553,16076856,16100981,16112337
16141642,16147291,16147693,16147852,16178452,16196689,16219025,16229299
16256908,16265532,16266324,16266625,16289483,16300992,16319646,16332724
16360745,16371922,16373005,16373406,16400697,16408844,16423171,16438794
16466486,16473876,16474407,16474612,16489511,16501621,16522799,16542338
16570756,16581595,16582649,16583022,16610773,16619522,16635893,16658093
16686818,16696018,16696825,16697272,16723020,16735422,16751096,16773687
16803201,16812138,16812775,16813005,16831370,16837723,16848744,16871022
16899588,16910292,16911197,16911668,16963820,16972127,16985799,17008668
17036920,17043788,17044376,17044697,17091617,17109369,17139811,17163245
17191482,17203123,17204159,17204527,17235998,17243130,17255648,17278788
17307121,17314122,17314741,17314980,17332989,17339508,17352890,17374349
17403122,17410256,17410725,17410904,17428246,17440308,17462422,17484576
17513894,17533439,17535156,17535753,17588025,17596279,17611696,17633324
17661252,17670087,17670850,17671133,17703276,17718902,17747519,17770255
17798362,17809957,17811002,17811375,17836768,17844037,17859277,17883180
17911357,17917263,17917719,17917893,17930613,17946037,17977068,18000433
18028985,18041036,18042069,18042436,18073942,18081304,18094547,18118521
18146802,18154180,18154790,18155224,18187505,18202905,18239852,18266756
18296948,18325683,18328315,18329498,18371136,18381488,18401056,18428199
18456371,18468521,18469564,18469935,18507078,18514576,18528987,18556124
18584881,18590710,18591181,18591384,18604178,18619113,18646562,18674104
18702290,18714385,18715456,18715829,18747384,18762801,18792246,18815631
18845093,18856553,18857588,18857959,18889436,18896716,18910234,18936127
18964744,18972480,18973085,18973313,18991734,18998070,19008543,19030949
19058990,19068209,19068970,19069255,19092051,19098804,19110823,19136864
19164873,19172242,19172849,19173079,19189393,19196665,19208953,19232910
19261293,19266940,19267430,19267968,19287561,19297465,19317597,19343021
